reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename (witness); bare=extdeps_cargo_build_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_resolves_by_qn_not_filepath_holds	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename (witness); bare=bogus_extdeps_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_unknown_qn_does_not_resolve_holds	no such function: bogus_extdeps_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_green (witness); bare=module_source_nickname_literal_green_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_green.module_source_nickname_literal_exempt_literals_is_green_holds	no such function: module_source_nickname_literal_green_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_coverage_domain_green (witness); bare=coverage_domain_equivalence_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_coverage_domain_green.module_source_nickname_literal_coverage_domain_is_green_holds	no such function: coverage_domain_equivalence_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_local_red (witness); bare=module_source_nickname_literal_local_red_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_local_red.module_source_nickname_literal_local_red_is_red_holds	no such function: module_source_nickname_literal_local_red_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_build (witness); bare=extdeps_cargo_build_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_build.policy_leak_cargo_build_is_red_holds	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_doc (witness); bare=extdeps_cargo_build_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_doc.policy_leak_cargo_doc_is_red_holds	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_fmt (witness); bare=extdeps_cargo_build_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_fmt.policy_leak_cargo_fmt_is_red_holds	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.transport_fusion_gcp_oauth (witness); bare=extdeps_gcp_module				no_such_function	reach_gap	v2.test.extdeps_shape_transport_policy.lens_unit.transport_fusion_gcp_oauth.transport_fusion_gcp_oauth_is_red_holds	no such function: extdeps_gcp_module
v2.test.fact_cardinality.lens_unit.synthetic_fork_red (witness); bare=Dag				no_such_function	reach_gap	v2.test.fact_cardinality.lens_unit.synthetic_fork_red.synthetic_fork_red_holds	no such function: Dag
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_pair_related	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_structural_difference_unrelated	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_bare_atoms_unrelated	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_identical_defs_related	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_three_member_family_found	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_family_member_count_and_holes	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_disjoint_defs_no_family	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_subject_extraction_finds_two	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_module_family_count_one	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_sigma_family_fires_through_linearity_registry	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_disjoint_decls_quiet_through_linearity_registry	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_relatedness_is_transitive_across_different_slots	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.fn_family.lens_unit.discriminators_test (witness); bare=atom_node		v2.std.effects.atom_node	v2.std.effects|v2.test.fn_family.lens_unit.discriminators_test	call_contract_mismatch	bare_name_binding	v2.test.fn_family.lens_unit.discriminators_test.witness_first_fit_group_is_stable_across_slot_union	call contract mismatch calling 'atom_node': no parameter named 'id' (declared: [s])
v2.test.claim.generated_conformance_floor (witness); bare=witness_coproduct_exhaustiveness_diagnostic_claim				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_is_diagnostic	no such function: witness_coproduct_exhaustiveness_diagnostic_claim
v2.test.claim.generated_conformance_floor (witness); bare=witness_coproduct_exhaustiveness_uses_generated_anchor				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_anchor_holds	no such function: witness_coproduct_exhaustiveness_uses_generated_anchor
v2.test.claim.generated_conformance_floor (witness); bare=witness_coproduct_exhaustiveness_all_variants_emit				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_roster_covers_testclaim	no such function: witness_coproduct_exhaustiveness_all_variants_emit
v2.test.claim.generated_conformance_floor (witness); bare=witness_coproduct_exhaustiveness_generator_count				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_covers_every_coproduct	no such function: witness_coproduct_exhaustiveness_generator_count
v2.test.claim.generated_conformance_floor (witness); bare=witness_cross_representation_equality_is_equals				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_is_equals	no such function: witness_cross_representation_equality_is_equals
v2.test.claim.generated_conformance_floor (witness); bare=witness_cross_representation_equality_uses_generated_anchor				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_anchor_holds	no such function: witness_cross_representation_equality_uses_generated_anchor
v2.test.claim.generated_conformance_floor (witness); bare=witness_cross_representation_equality_covers_bool				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_bool	no such function: witness_cross_representation_equality_covers_bool
v2.test.claim.generated_conformance_floor (witness); bare=witness_cross_representation_equality_covers_optional_null				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_optional_null	no such function: witness_cross_representation_equality_covers_optional_null
v2.test.claim.generated_conformance_floor (witness); bare=witness_refinement_preserves_nonempty_list_base				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_refinement_preserves_nonempty_list_base	no such function: witness_refinement_preserves_nonempty_list_base
v2.test.claim.generated_conformance_floor (witness); bare=witness_refinement_preservation_subject_anchor				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_refinement_subject_anchor_holds	no such function: witness_refinement_preservation_subject_anchor
v2.test.claim.generated_conformance_floor (witness); bare=witness_refinement_preservation_scheduler_emits_one_generator				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_refinement_scheduler_emits_one_generator	no such function: witness_refinement_preservation_scheduler_emits_one_generator
v2.test.claim.generated_conformance_floor (witness); bare=claim_refinement_nonempty_list_base_preserved				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_refinement_claim_emits	no such function: claim_refinement_nonempty_list_base_preserved
v2.test.claim.generated_conformance_floor (witness); bare=witness_lbe_conj_snapshot_pass				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_lbe_conj_snapshot_passes	no such function: witness_lbe_conj_snapshot_pass
v2.test.claim.generated_conformance_floor (witness); bare=witness_lbe_disj_snapshot_pass				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_lbe_disj_snapshot_passes	no such function: witness_lbe_disj_snapshot_pass
v2.test.claim.generated_conformance_floor (witness); bare=witness_lbe_transform_snapshot_pass				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_lbe_transform_snapshot_passes	no such function: witness_lbe_transform_snapshot_pass
v2.test.claim.generated_conformance_floor (witness); bare=witness_testgen_schedules_three_lbe_generators				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_lbe_schedules_three_generators	no such function: witness_testgen_schedules_three_lbe_generators
v2.test.claim.generated_conformance_floor (witness); bare=witness_dag_surface_language_identity				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_lbe_dag_surface_language_identity	no such function: witness_dag_surface_language_identity
v2.test.claim.generated_conformance_floor (witness); bare=row_witness_validity_constraint_satisfaction_holds				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_witness_validity_constraint_satisfaction_emits	no such function: row_witness_validity_constraint_satisfaction_holds
v2.test.claim.generated_conformance_floor (witness); bare=row_witness_validity_property_symbol_mismatch				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_witness_validity_property_symbol_mismatch_emits	no such function: row_witness_validity_property_symbol_mismatch
v2.test.claim.generated_conformance_floor (witness); bare=row_witness_validity_evidence_node_mismatch				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_witness_validity_evidence_node_mismatch_emits	no such function: row_witness_validity_evidence_node_mismatch
v2.test.claim.generated_conformance_floor (witness); bare=row_witness_validity_rule_not_realized				no_such_function	reach_gap	v2.test.claim.generated_conformance_floor.generated_witness_validity_rule_not_realized_emits	no such function: row_witness_validity_rule_not_realized
v2.test.claim.generated_conformance_floor.generated_wishlist_dispatched_count_holds				other	other	v2.test.claim.generated_conformance_floor.generated_wishlist_dispatched_count_holds	non-exhaustive pattern match on: [Node { kind: TypeNode { connective: Conj }, children: [], occurrence_id: SyntheticOccurrence }]
v2.test.claim.gha_workflow_yaml_fold_structural (witness); bare=gha_fold_pilot_job				no_such_function	reach_gap	v2.test.claim.gha_workflow_yaml_fold_structural.gha_fold_structural_tier_holds	no such function: gha_fold_pilot_job
v2.test.claim.identity_captured_navigation.roster_gate.roster_dag_language_model_zero_suspects_within_ratchet				other	other	v2.test.claim.identity_captured_navigation.roster_gate.roster_dag_language_model_zero_suspects_within_ratchet	eval budget exceeded: 529ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.roster_body_lowering_fold_zero_suspects_within_ratchet				other	other	v2.test.claim.identity_captured_navigation.roster_gate.roster_body_lowering_fold_zero_suspects_within_ratchet	eval budget exceeded: 509ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.roster_ingest_stage_zero_suspects_within_ratchet				other	other	v2.test.claim.identity_captured_navigation.roster_gate.roster_ingest_stage_zero_suspects_within_ratchet	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.roster_parse_stage_zero_suspects_within_ratchet				other	other	v2.test.claim.identity_captured_navigation.roster_gate.roster_parse_stage_zero_suspects_within_ratchet	eval budget exceeded: 506ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.roster_accumulator_copy_analyze_zero_suspects_within_ratchet				other	other	v2.test.claim.identity_captured_navigation.roster_gate.roster_accumulator_copy_analyze_zero_suspects_within_ratchet	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.red_control_planted_identity_escape_still_alarms				other	other	v2.test.claim.identity_captured_navigation.roster_gate.red_control_planted_identity_escape_still_alarms	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.identity_captured_navigation.roster_gate.red_control_planted_identity_escape_finding_count_is_one				other	other	v2.test.claim.identity_captured_navigation.roster_gate.red_control_planted_identity_escape_finding_count_is_one	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.green_control_sanctioned_reader_body_not_flagged				other	other	v2.test.claim.identity_captured_navigation.roster_gate.green_control_sanctioned_reader_body_not_flagged	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.identity_captured_navigation.roster_gate.green_control_sanctioned_reader_body_has_no_findings_at_all				other	other	v2.test.claim.identity_captured_navigation.roster_gate.green_control_sanctioned_reader_body_has_no_findings_at_all	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.identity_captured_navigation.roster_gate.unrelated_caret_literal_call_not_flagged				other	other	v2.test.claim.identity_captured_navigation.roster_gate.unrelated_caret_literal_call_not_flagged	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.infer_semantics_witness.infer_semantics_witness_keystone_holds				other	other	v2.test.claim.infer_semantics_witness.infer_semantics_witness_keystone_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
v2.test.intent_linearity.lens_unit.discriminators.unroll_detected_by_registry				other	other	v2.test.intent_linearity.lens_unit.discriminators.unroll_detected_by_registry	returned Bool(false)
v2.test.intent_linearity.lens_unit.discriminators.residual_is_n_minus_one				other	other	v2.test.intent_linearity.lens_unit.discriminators.residual_is_n_minus_one	returned Bool(false)
v2.test.intent_linearity.lens_unit.discriminators.body_with_unroll_is_not_linear				other	other	v2.test.intent_linearity.lens_unit.discriminators.body_with_unroll_is_not_linear	returned Bool(false)
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=symbolic_cost_of_node				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_cost_is_lowerable	no such function: symbolic_cost_of_node
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=symbolic_cost_of_node				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_cost_not_lowerable	no such function: symbolic_cost_of_node
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=chain_is_simulated				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_is_runtime_candidate	no such function: chain_is_simulated
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=chain_is_simulated				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_not_runtime_candidate	no such function: chain_is_simulated
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=chain_is_simulated				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_not_changetime_redundant	no such function: chain_is_simulated
v2.test.intent_linearity.lens_unit.runtime_axis (witness); bare=chain_is_simulated				no_such_function	reach_gap	v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_is_linear	no such function: chain_is_simulated
v2.test.languages_consumer_census.corpus.data_decl_ratchet.corpus_data_decl_ratchet_holds				other	other	v2.test.languages_consumer_census.corpus.data_decl_ratchet.corpus_data_decl_ratchet_holds	exceeded Cpu budget (675ms elapsed against 500ms)
v2.test.claim.live_read_classification_test.unit_closure_is_local_read				other	other	v2.test.claim.live_read_classification_test.unit_closure_is_local_read	non-exhaustive pattern match on: LocalRead
v2.test.claim.live_read_classification_test.two_hop_decl_facts_carrier_is_runtime_read				other	other	v2.test.claim.live_read_classification_test.two_hop_decl_facts_carrier_is_runtime_read	non-exhaustive pattern match on: RuntimeRead { carriers: Cons { head: DeclFactsReflection { home: fix.corpus_reader }, tail: Empty } }
v2.test.claim.live_read_classification_test.two_hop_facts_classify_as_runtime_read				other	other	v2.test.claim.live_read_classification_test.two_hop_facts_classify_as_runtime_read	non-exhaustive pattern match on: RuntimeRead { carriers: Cons { head: DeclFactsReflection { home: fix.corpus_reader }, tail: Empty } }
v2.test.claim.live_read_classification_test.severed_mid_hop_is_local_read				other	other	v2.test.claim.live_read_classification_test.severed_mid_hop_is_local_read	non-exhaustive pattern match on: LocalRead
v2.test.claim.live_read_classification_test.red_control_roster_gate_severed_is_local				other	other	v2.test.claim.live_read_classification_test.red_control_roster_gate_severed_is_local	non-exhaustive pattern match on: LocalRead
v2.test.claim.live_read_classification_test.v0_registry_two_hop_decl_index_runtime_read				other	other	v2.test.claim.live_read_classification_test.v0_registry_two_hop_decl_index_runtime_read	non-exhaustive pattern match on: RuntimeRead { carriers: Cons { head: DeclFactsReflection { home: v2.std.decl_index }, tail: Empty } }
v2.test.claim.live_read_classification_test.g2_roster_gate_entry_classifies_literal_paths				other	other	v2.test.claim.live_read_classification_test.g2_roster_gate_entry_classifies_literal_paths	eval budget exceeded: 2169ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.live_read_classification_test.g2_roster_gate_literal_path_touched_selects				other	other	v2.test.claim.live_read_classification_test.g2_roster_gate_literal_path_touched_selects	eval budget exceeded: 1875ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.live_read_classification_test.g2_implies_reads_live_tree_for_roster_gate				other	other	v2.test.claim.live_read_classification_test.g2_implies_reads_live_tree_for_roster_gate	eval budget exceeded: 1886ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.live_read_classification_test.g2_complete_facts_reachable_home_without_carrier_call_is_local				other	other	v2.test.claim.live_read_classification_test.g2_complete_facts_reachable_home_without_carrier_call_is_local	non-exhaustive pattern match on: LocalRead
v2.test.claim.live_read_classification_test.g2_reachable_carrier_call_with_unknown_argument_is_runtime_read				other	other	v2.test.claim.live_read_classification_test.g2_reachable_carrier_call_with_unknown_argument_is_runtime_read	non-exhaustive pattern match on: RuntimeRead { carriers: Cons { head: FilesystemReadPath { path_pattern: UnknownPath }, tail: Empty } }
v2.test.manual.english_emit_add.english_emit_add_ingest_round_trip_holds				other	other	v2.test.manual.english_emit_add.english_emit_add_ingest_round_trip_holds	returned Bool(false)
v2.test.manual.medium_node_instantiation (witness); bare=v2_eval_bool_literal_pin				no_such_function	reach_gap	v2.test.manual.medium_node_instantiation.medium_node_carried_is_expected	no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_node_instantiation (witness); bare=v2_eval_bool_literal_pin				no_such_function	reach_gap	v2.test.manual.medium_node_instantiation.medium_node_fidelity_is_lossless	no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_node_instantiation (witness); bare=v2_eval_bool_literal_pin				no_such_function	reach_gap	v2.test.manual.medium_node_instantiation.medium_node_lossy_tag_not_lossless	no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_source_text_instantiation (witness); bare=SourceFile				undefined_variable	reach_gap	v2.test.manual.medium_source_text_instantiation.witness_source_field_is_medium	undefined variable: SourceFile
v2.test.manual.value_null_split_witness (witness); bare=cross_repr_native_value_null				no_such_function	reach_gap	v2.test.manual.value_null_split_witness.optional_null_straddle_rostered_until_phase_e	no such function: cross_repr_native_value_null
v2.test.claim.rust_crate_partition_witness.witness_partition_r4_valid_on_interim_holds				other	other	v2.test.claim.rust_crate_partition_witness.witness_partition_r4_valid_on_interim_holds	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.source_root_tagging (witness); bare=SourceFile				undefined_variable	reach_gap	v2.test.claim.source_root_tagging.source_root_tag_carried_and_folded_to_grounded_set	undefined variable: SourceFile
v2.test.claim.staging.cached_stage_hit_skips_stage				other	other	v2.test.claim.staging.cached_stage_hit_skips_stage	type error: cannot access field 'raw' on Int
v2.test.claim.staging.cached_stage_miss_runs_stage				other	other	v2.test.claim.staging.cached_stage_miss_runs_stage	type error: cannot access field 'raw' on Int
v2.test.structural_similarity.lens_unit.discriminators.width_family_is_similar				other	other	v2.test.structural_similarity.lens_unit.discriminators.width_family_is_similar	returned Bool(false)
v2.test.fixture.walk_plan_stage.barrier_witness.walk_plan_stage_barrier_witness_holds				other	other	v2.test.fixture.walk_plan_stage.barrier_witness.walk_plan_stage_barrier_witness_holds	type error: hermetic mode: no mock_response for operation Read — refusing to fabricate Unit
v2.test.fixture.walk_plan_stage.cleanup.walk_plan_stage_cleanup_holds				other	other	v2.test.fixture.walk_plan_stage.cleanup.walk_plan_stage_cleanup_holds	type error: hermetic mode: no mock_response for operation RecursiveForce — refusing to fabricate Unit
v2.test.fixture.walk_plan_stage.common.walk_plan_stage_materialize_harness_authority_holds				other	other	v2.test.fixture.walk_plan_stage.common.walk_plan_stage_materialize_harness_authority_holds	type error: hermetic mode: no mock_response for operation Write — refusing to fabricate Unit
v2.test.fixture.walk_plan_stage.failure_red_member.walk_plan_stage_failure_red_member_holds				other	other	v2.test.fixture.walk_plan_stage.failure_red_member.walk_plan_stage_failure_red_member_holds	returned Bool(false)
v2.test.fixture.walk_plan_stage.overlap_peer_a.walk_plan_stage_overlap_peer_a_holds				other	other	v2.test.fixture.walk_plan_stage.overlap_peer_a.walk_plan_stage_overlap_peer_a_holds	type error: hermetic mode: no mock_response for operation Parents — refusing to fabricate Unit
v2.test.fixture.walk_plan_stage.overlap_peer_b.walk_plan_stage_overlap_peer_b_holds				other	other	v2.test.fixture.walk_plan_stage.overlap_peer_b.walk_plan_stage_overlap_peer_b_holds	type error: hermetic mode: no mock_response for operation Parents — refusing to fabricate Unit
v2.test.fixture.walk_plan_stage.receipt_refusal_poison.walk_plan_stage_receipt_refusal_poison_holds				other	other	v2.test.fixture.walk_plan_stage.receipt_refusal_poison.walk_plan_stage_receipt_refusal_poison_holds	type error: hermetic mode: no mock_response for operation Parents — refusing to fabricate Unit
